clip,class_id,split,status,frames,fps,pose_rate,face_rate,lh_rate,rh_rate,any_hand_rate,brightness,seconds
5/10.MOV,5,train,ok,243,60.0,1.0,1.0,0.0,0.263,0.263,1.0,22.2
86/6.MOV,86,train,ok,244,60.0,1.0,1.0,0.324,0.324,0.336,1.0,24.0
52/10.MOV,52,train,ok,245,60.0,1.0,1.0,0.0,0.306,0.306,1.0,24.2
16/10.MOV,16,train,ok,243,60.0,1.0,1.0,0.0,0.284,0.284,1.0,23.3
14/3.MOV,14,train,ok,244,60.0,1.0,1.0,0.0,0.295,0.295,1.0,24.1
22/5.MOV,22,train,ok,244,60.0,1.0,1.0,0.0,0.275,0.275,1.0,21.3
96/14.MOV,96,train,ok,244,60.0,1.0,1.0,0.27,0.283,0.287,1.0,21.6
4/15.MOV,4,train,ok,243,60.0,1.0,1.0,0.255,0.399,0.403,1.0,21.7
63/10.MOV,63,train,ok,244,60.0,1.0,1.0,0.0,0.357,0.357,1.0,21.1
2/2.MOV,2,train,ok,244,60.0,1.0,1.0,0.0,0.467,0.467,1.0,21.5
54/6.MOV,54,train,ok,244,60.0,1.0,1.0,0.107,0.324,0.34,1.0,21.8
66/16.MOV,66,train,ok,244,60.0,1.0,1.0,0.0,0.34,0.34,1.0,22.5
24/12.MOV,24,train,ok,244,60.0,1.0,1.0,0.0,0.238,0.238,1.0,22.8
1/2.MOV,1,train,ok,244,60.0,1.0,1.0,0.0,0.439,0.439,1.0,22.2
4/16.MOV,4,train,ok,243,60.0,1.0,1.0,0.296,0.37,0.44,1.0,22.2
66/0.MOV,66,train,ok,244,60.0,1.0,1.0,0.0,0.381,0.381,1.0,22.7
22/14.MOV,22,train,ok,244,60.0,1.0,1.0,0.0,0.25,0.25,1.0,22.9
7/12.MOV,7,train,ok,243,60.0,1.0,1.0,0.276,0.28,0.28,1.0,21.9
76/11.MOV,76,train,ok,244,60.0,1.0,1.0,0.0,0.275,0.275,1.0,21.3
22/16.MOV,22,train,ok,244,60.0,1.0,1.0,0.0,0.299,0.299,1.0,21.9
1/15.MOV,1,train,ok,244,60.0,1.0,1.0,0.0,0.475,0.475,1.0,21.9
74/16.MOV,74,train,ok,244,60.0,1.0,1.0,0.0,0.254,0.254,1.0,21.4
3/1.MOV,3,train,ok,244,60.0,1.0,1.0,0.0,0.27,0.27,1.0,21.6
57/18.MOV,57,train,ok,244,60.0,1.0,1.0,0.0,0.402,0.402,1.0,24.6
53/12.MOV,53,train,ok,244,60.0,1.0,1.0,0.0,0.201,0.201,1.0,24.6
11/4.MOV,11,train,ok,244,60.0,1.0,1.0,0.0,0.344,0.344,1.0,25.4
1/12.MOV,1,train,ok,244,60.0,1.0,1.0,0.0,0.43,0.43,1.0,24.9
21/9.MOV,21,train,ok,244,60.0,1.0,1.0,0.0,0.336,0.336,1.0,25.5
95/15.MOV,95,train,ok,245,60.0,1.0,1.0,0.0,0.318,0.318,1.0,24.8
12/17.MOV,12,train,ok,244,60.0,1.0,1.0,0.0,0.389,0.389,1.0,21.1
53/15.MOV,53,train,ok,244,60.0,1.0,1.0,0.0,0.34,0.34,1.0,20.7
77/0.MOV,77,train,ok,244,60.0,1.0,1.0,0.0,0.311,0.311,1.0,21.3
56/13.MOV,56,train,ok,244,60.0,1.0,1.0,0.0,0.443,0.443,1.0,21.1
21/18.MOV,21,train,ok,244,60.0,1.0,1.0,0.0,0.32,0.32,1.0,20.9
6/21.MOV,6,train,ok,243,60.0,1.0,1.0,0.457,0.473,0.473,1.0,21.3
96/1.MOV,96,train,ok,244,60.0,1.0,1.0,0.418,0.43,0.447,1.0,21.9
51/16.MOV,51,train,ok,242,60.0,1.0,1.0,0.0,0.31,0.31,1.0,21.7
89/6.MOV,89,train,ok,244,60.0,1.0,1.0,0.0,0.344,0.344,1.0,21.3
7/1.MOV,7,train,ok,243,60.0,1.0,1.0,0.329,0.342,0.342,1.0,21.9
62/5.MOV,62,train,ok,245,60.0,1.0,1.0,0.0,0.298,0.298,1.0,22.0
74/12.MOV,74,train,ok,244,60.0,1.0,1.0,0.0,0.34,0.34,1.0,21.7
55/6.MOV,55,train,ok,244,60.0,1.0,1.0,0.135,0.324,0.328,1.0,23.9
16/0.MOV,16,train,ok,243,60.0,1.0,1.0,0.021,0.362,0.362,1.0,24.3
20/3.MOV,20,train,ok,244,60.0,1.0,1.0,0.0,0.32,0.32,1.0,24.7
15/8.MOV,15,train,ok,243,60.0,1.0,1.0,0.0,0.37,0.37,1.0,24.9
62/7.MOV,62,train,ok,244,60.0,1.0,1.0,0.0,0.303,0.303,1.0,24.3
89/8.MOV,89,train,ok,244,60.0,1.0,1.0,0.0,0.336,0.336,1.0,25.6
24/3.MOV,24,train,ok,244,60.0,1.0,1.0,0.0,0.295,0.295,1.0,21.9
89/17.MOV,89,train,ok,244,60.0,1.0,1.0,0.0,0.463,0.463,1.0,22.5
55/3.MOV,55,train,ok,244,60.0,1.0,1.0,0.324,0.234,0.393,1.0,21.5
65/3.MOV,65,train,ok,244,60.0,1.0,1.0,0.0,0.406,0.406,1.0,22.0
24/2.MOV,24,train,ok,244,60.0,1.0,1.0,0.0,0.295,0.295,1.0,22.0
16/18.MOV,16,train,ok,243,60.0,1.0,1.0,0.0,0.428,0.428,1.0,22.1
11/0.MOV,11,train,ok,244,60.0,1.0,1.0,0.0,0.496,0.496,1.0,22.1
21/0.MOV,21,train,ok,244,60.0,1.0,1.0,0.0,0.295,0.295,1.0,22.3
57/15.MOV,57,train,ok,244,60.0,1.0,1.0,0.0,0.369,0.369,1.0,23.0
21/6.MOV,21,train,ok,244,60.0,1.0,1.0,0.0,0.266,0.266,1.0,22.9
1/3.MOV,1,train,ok,244,60.0,1.0,1.0,0.0,0.492,0.492,1.0,21.9
11/19.MOV,11,train,ok,244,60.0,1.0,1.0,0.0,0.373,0.373,1.0,22.2
64/0.MOV,64,train,ok,244,60.0,1.0,1.0,0.004,0.41,0.41,1.0,23.1
15/14.MOV,15,train,ok,243,60.0,1.0,1.0,0.0,0.276,0.276,1.0,22.7
14/19.MOV,14,train,ok,244,60.0,1.0,1.0,0.0,0.357,0.357,1.0,23.9
1/11.MOV,1,train,ok,244,60.0,1.0,1.0,0.0,0.455,0.455,1.0,23.1
66/4.MOV,66,train,ok,244,60.0,1.0,1.0,0.0,0.369,0.369,1.0,23.4
10/11.MOV,10,train,ok,245,60.0,1.0,1.0,0.0,0.306,0.306,1.0,24.1
12/13.MOV,12,train,ok,244,60.0,1.0,1.0,0.0,0.295,0.295,1.0,23.9
3/9.MOV,3,train,ok,244,60.0,1.0,1.0,0.0,0.246,0.246,1.0,22.9
86/9.MOV,86,train,ok,244,60.0,1.0,1.0,0.328,0.32,0.332,1.0,23.5
19/15.MOV,19,train,ok,242,60.0,1.0,1.0,0.0,0.318,0.318,1.0,23.5
15/1.MOV,15,train,ok,243,60.0,1.0,1.0,0.0,0.366,0.366,1.0,23.1
4/14.MOV,4,train,ok,243,60.0,1.0,1.0,0.259,0.42,0.424,1.0,24.7
85/6.MOV,85,train,ok,245,60.0,1.0,1.0,0.412,0.351,0.412,1.0,27.4
49/4.MOV,49,train,ok,243,60.0,1.0,1.0,0.239,0.251,0.251,1.0,27.3
52/15.MOV,52,train,ok,245,60.0,1.0,1.0,0.0,0.433,0.433,1.0,27.6
23/11.MOV,23,train,ok,244,60.0,1.0,1.0,0.0,0.217,0.217,1.0,27.4
57/13.MOV,57,train,ok,244,60.0,1.0,1.0,0.0,0.295,0.295,1.0,27.9
62/18.MOV,62,train,ok,244,60.0,1.0,1.0,0.0,0.262,0.262,1.0,27.9
76/5.MOV,76,train,ok,244,60.0,1.0,1.0,0.0,0.303,0.303,1.0,31.3
8/18.MOV,8,train,ok,242,60.0,1.0,1.0,0.0,0.5,0.5,1.0,31.0
66/9.MOV,66,train,ok,244,60.0,1.0,1.0,0.0,0.291,0.291,1.0,32.0
74/0.MOV,74,train,ok,244,60.0,1.0,1.0,0.0,0.373,0.373,1.0,32.6
11/8.MOV,11,train,ok,244,60.0,1.0,1.0,0.0,0.352,0.352,1.0,32.2
16/14.MOV,16,train,ok,243,60.0,1.0,1.0,0.0,0.3,0.3,1.0,32.2
66/19.MOV,66,train,ok,244,60.0,1.0,1.0,0.0,0.381,0.381,1.0,29.4
62/17.MOV,62,train,ok,244,60.0,1.0,1.0,0.0,0.439,0.439,1.0,28.7
16/13.MOV,16,train,ok,243,60.0,1.0,1.0,0.0,0.3,0.3,1.0,29.0
66/13.MOV,66,train,ok,244,60.0,1.0,1.0,0.0,0.275,0.275,1.0,29.8
51/9.MOV,51,train,ok,242,60.0,1.0,1.0,0.0,0.322,0.322,1.0,29.2
22/2.MOV,22,train,ok,244,60.0,1.0,1.0,0.0,0.332,0.332,1.0,29.9
15/11.MOV,15,train,ok,243,60.0,1.0,1.0,0.0,0.321,0.321,1.0,31.0
76/6.MOV,76,train,ok,244,60.0,1.0,1.0,0.0,0.32,0.32,1.0,29.3
62/13.MOV,62,train,ok,244,60.0,1.0,1.0,0.0,0.369,0.369,1.0,30.9
12/9.MOV,12,train,ok,244,60.0,1.0,1.0,0.0,0.34,0.34,1.0,31.0
77/18.MOV,77,train,ok,244,60.0,1.0,1.0,0.0,0.311,0.311,1.0,31.5
15/5.MOV,15,train,ok,244,60.0,1.0,1.0,0.0,0.316,0.316,1.0,30.8
19/20.MOV,19,train,ok,242,60.0,1.0,1.0,0.0,0.479,0.479,1.0,27.4
51/4.MOV,51,train,ok,243,60.0,1.0,1.0,0.0,0.337,0.337,1.0,27.2
11/18.MOV,11,train,ok,244,60.0,1.0,1.0,0.0,0.418,0.418,1.0,27.7
67/3.MOV,67,train,ok,244,60.0,1.0,1.0,0.0,0.279,0.279,1.0,27.4
21/4.MOV,21,train,ok,244,60.0,1.0,1.0,0.0,0.311,0.311,1.0,27.5
13/2.MOV,13,train,ok,244,60.0,1.0,1.0,0.0,0.32,0.32,1.0,27.6
66/17.MOV,66,train,ok,244,60.0,1.0,1.0,0.0,0.385,0.385,1.0,24.7
57/5.MOV,57,train,ok,243,60.0,1.0,1.0,0.0,0.272,0.272,1.0,23.4
22/19.MOV,22,train,ok,244,60.0,1.0,1.0,0.0,0.307,0.307,1.0,24.1
89/13.MOV,89,train,ok,244,60.0,1.0,1.0,0.0,0.344,0.344,1.0,25.0
21/11.MOV,21,train,ok,244,60.0,1.0,1.0,0.0,0.23,0.23,1.0,24.9
4/6.MOV,4,train,ok,244,60.0,1.0,1.0,0.246,0.377,0.377,1.0,23.3
76/0.MOV,76,train,ok,244,60.0,1.0,1.0,0.0,0.369,0.369,1.0,22.6
13/5.MOV,13,train,ok,244,60.0,1.0,1.0,0.0,0.328,0.328,1.0,22.9
19/19.MOV,19,train,ok,242,60.0,1.0,1.0,0.0,0.368,0.368,1.0,22.3
95/13.MOV,95,train,ok,244,60.0,1.0,1.0,0.0,0.311,0.311,1.0,22.8
5/17.MOV,5,train,ok,243,60.0,1.0,1.0,0.0,0.457,0.457,1.0,22.1
17/16.MOV,17,train,ok,243,60.0,1.0,1.0,0.321,0.23,0.325,1.0,22.6
10/8.MOV,10,train,ok,244,60.0,1.0,1.0,0.0,0.295,0.295,1.0,23.3
23/6.MOV,23,train,ok,244,60.0,1.0,1.0,0.0,0.283,0.283,1.0,23.3
4/12.MOV,4,train,ok,244,60.0,1.0,1.0,0.254,0.393,0.398,1.0,23.1
18/20.MOV,18,train,ok,243,60.0,1.0,1.0,0.412,0.391,0.457,1.0,23.4
53/16.MOV,53,train,ok,244,60.0,1.0,1.0,0.0,0.242,0.242,1.0,23.6
19/17.MOV,19,train,ok,243,60.0,1.0,1.0,0.0,0.42,0.42,1.0,22.8
53/6.MOV,53,train,ok,244,60.0,1.0,1.0,0.0,0.275,0.275,1.0,19.2
9/3.MOV,9,train,ok,242,60.0,1.0,1.0,0.0,0.488,0.488,1.0,20.7
67/4.MOV,67,train,ok,243,60.0,1.0,1.0,0.0,0.255,0.255,1.0,20.9
5/13.MOV,5,train,ok,243,60.0,1.0,1.0,0.0,0.346,0.346,1.0,20.7
4/10.MOV,4,train,ok,244,60.0,1.0,1.0,0.262,0.377,0.381,1.0,21.1
8/4.MOV,8,train,ok,242,60.0,1.0,1.0,0.0,0.388,0.388,1.0,20.6
62/4.MOV,62,train,ok,244,60.0,1.0,1.0,0.0,0.422,0.422,1.0,22.6
63/19.MOV,63,train,ok,244,60.0,1.0,1.0,0.0,0.275,0.275,1.0,23.4
14/18.MOV,14,train,ok,244,60.0,1.0,1.0,0.0,0.381,0.381,1.0,22.4
49/12.MOV,49,train,ok,243,60.0,1.0,1.0,0.247,0.123,0.267,1.0,22.3
3/18.MOV,3,train,ok,244,60.0,1.0,1.0,0.0,0.389,0.389,1.0,23.1
57/0.MOV,57,train,ok,244,60.0,1.0,1.0,0.0,0.324,0.324,1.0,23.4
6/16.MOV,6,train,ok,243,60.0,1.0,1.0,0.428,0.391,0.465,1.0,22.1
57/17.MOV,57,train,ok,244,60.0,1.0,1.0,0.0,0.393,0.393,1.0,23.0
20/4.MOV,20,train,ok,244,60.0,1.0,1.0,0.0,0.283,0.283,1.0,23.0
52/8.MOV,52,train,ok,244,60.0,1.0,1.0,0.0,0.234,0.234,1.0,21.7
54/19.MOV,54,train,ok,244,60.0,1.0,0.988,0.443,0.545,0.545,1.0,23.2
57/1.MOV,57,train,ok,244,60.0,1.0,1.0,0.004,0.287,0.287,1.0,22.4
9/10.MOV,9,train,ok,243,60.0,1.0,1.0,0.0,0.374,0.374,1.0,23.2
51/1.MOV,51,train,ok,243,60.0,1.0,1.0,0.0,0.313,0.313,1.0,23.8
3/5.MOV,3,train,ok,244,60.0,1.0,1.0,0.0,0.254,0.254,1.0,23.5
52/0.MOV,52,train,ok,245,60.0,1.0,1.0,0.0,0.404,0.404,1.0,24.2
11/11.MOV,11,train,ok,244,60.0,1.0,1.0,0.0,0.344,0.344,1.0,24.1
95/16.MOV,95,train,ok,245,60.0,1.0,1.0,0.0,0.359,0.359,1.0,23.9
49/14.MOV,49,train,ok,243,60.0,1.0,1.0,0.14,0.218,0.235,1.0,24.4
18/12.MOV,18,train,ok,243,60.0,1.0,1.0,0.202,0.407,0.407,1.0,23.7
13/16.MOV,13,train,ok,244,60.0,1.0,1.0,0.0,0.336,0.336,1.0,23.2
57/6.MOV,57,train,ok,243,60.0,1.0,1.0,0.0,0.272,0.272,1.0,22.8
1/4.MOV,1,train,ok,244,60.0,1.0,1.0,0.0,0.5,0.5,1.0,24.2
19/3.MOV,19,train,ok,243,60.0,1.0,1.0,0.0,0.292,0.292,1.0,24.0
95/11.MOV,95,train,ok,245,60.0,1.0,1.0,0.0,0.335,0.335,1.0,24.8
96/3.MOV,96,train,ok,244,60.0,1.0,1.0,0.393,0.361,0.406,1.0,23.8
3/0.MOV,3,train,ok,244,60.0,1.0,1.0,0.0,0.316,0.316,1.0,23.9
12/19.MOV,12,train,ok,244,60.0,1.0,1.0,0.0,0.352,0.352,1.0,23.7
24/4.MOV,24,train,ok,244,60.0,1.0,1.0,0.0,0.287,0.287,1.0,24.0
56/3.MOV,56,train,ok,244,60.0,1.0,1.0,0.0,0.389,0.389,1.0,23.9
77/1.MOV,77,train,ok,244,60.0,1.0,1.0,0.0,0.324,0.324,1.0,24.0
89/0.MOV,89,train,ok,244,60.0,1.0,1.0,0.0,0.467,0.467,1.0,23.3
23/10.MOV,23,train,ok,244,60.0,1.0,1.0,0.0,0.246,0.246,1.0,23.6
6/12.MOV,6,train,ok,243,60.0,1.0,1.0,0.453,0.44,0.49,1.0,22.6
55/8.MOV,55,train,ok,244,60.0,1.0,1.0,0.193,0.266,0.287,1.0,22.8
50/10.MOV,50,train,ok,243,60.0,1.0,1.0,0.0,0.259,0.259,1.0,24.0
7/2.MOV,7,train,ok,243,60.0,1.0,1.0,0.354,0.358,0.362,1.0,23.3
95/7.MOV,95,train,ok,244,60.0,1.0,1.0,0.0,0.369,0.369,1.0,23.5
56/5.MOV,56,train,ok,244,60.0,1.0,1.0,0.0,0.291,0.291,1.0,22.6
56/10.MOV,56,train,ok,244,60.0,1.0,0.996,0.0,0.332,0.332,1.0,23.3
2/4.MOV,2,train,ok,244,60.0,1.0,1.0,0.008,0.443,0.443,1.0,22.9
13/4.MOV,13,train,ok,244,60.0,1.0,1.0,0.0,0.344,0.344,1.0,23.3
66/7.MOV,66,train,ok,244,60.0,1.0,1.0,0.0,0.266,0.266,1.0,23.8
54/18.MOV,54,train,ok,244,60.0,1.0,0.988,0.402,0.467,0.467,1.0,24.4
52/19.MOV,52,train,ok,244,60.0,1.0,1.0,0.0,0.492,0.492,1.0,24.8
24/1.MOV,24,train,ok,244,60.0,1.0,1.0,0.0,0.287,0.287,1.0,24.5
0/10.MOV,0,train,ok,245,60.0,1.0,1.0,0.0,0.437,0.437,1.0,24.9
56/14.MOV,56,train,ok,244,60.0,1.0,1.0,0.0,0.439,0.439,1.0,24.4
50/14.MOV,50,train,ok,243,60.0,1.0,1.0,0.0,0.296,0.296,1.0,23.3
17/3.MOV,17,train,ok,243,60.0,1.0,1.0,0.025,0.28,0.28,1.0,23.0
8/16.MOV,8,train,ok,242,60.0,1.0,1.0,0.0,0.517,0.517,1.0,23.5
1/14.MOV,1,train,ok,244,60.0,1.0,1.0,0.0,0.422,0.422,1.0,23.6
20/1.MOV,20,train,ok,245,60.0,1.0,1.0,0.0,0.363,0.363,1.0,23.0
3/16.MOV,3,train,ok,244,60.0,1.0,1.0,0.0,0.369,0.369,1.0,23.4
22/3.MOV,22,train,ok,244,60.0,1.0,1.0,0.0,0.295,0.295,1.0,24.5
77/16.MOV,77,train,ok,244,60.0,1.0,1.0,0.0,0.496,0.496,1.0,23.9
51/12.MOV,51,train,ok,243,60.0,1.0,1.0,0.0,0.329,0.329,1.0,23.6
23/7.MOV,23,train,ok,244,60.0,1.0,1.0,0.0,0.266,0.266,1.0,23.6
55/15.MOV,55,train,ok,244,60.0,1.0,1.0,0.377,0.365,0.455,1.0,24.0
21/12.MOV,21,train,ok,244,60.0,1.0,1.0,0.0,0.238,0.238,1.0,24.0
49/10.MOV,49,train,ok,243,60.0,1.0,1.0,0.292,0.247,0.3,1.0,24.1
21/13.MOV,21,train,ok,244,60.0,1.0,1.0,0.0,0.217,0.217,1.0,24.1
67/8.MOV,67,train,ok,244,60.0,1.0,1.0,0.0,0.254,0.254,1.0,24.2
72/18.MOV,72,train,ok,244,60.0,1.0,1.0,0.0,0.344,0.344,1.0,24.2
55/14.MOV,55,train,ok,244,60.0,1.0,1.0,0.049,0.184,0.189,1.0,24.3
18/0.MOV,18,train,ok,243,60.0,1.0,1.0,0.276,0.449,0.486,1.0,24.3
7/7.MOV,7,train,ok,243,60.0,1.0,1.0,0.321,0.305,0.321,1.0,23.3
85/11.MOV,85,train,ok,245,60.0,1.0,1.0,0.322,0.286,0.322,1.0,23.2
76/1.MOV,76,train,ok,244,60.0,1.0,1.0,0.0,0.357,0.357,1.0,23.5
1/1.MOV,1,train,ok,244,60.0,1.0,1.0,0.0,0.451,0.451,1.0,23.5
76/3.MOV,76,train,ok,244,60.0,1.0,1.0,0.0,0.332,0.332,1.0,24.0
96/10.MOV,96,train,ok,244,60.0,1.0,1.0,0.34,0.328,0.357,1.0,23.5
72/7.MOV,72,train,ok,244,60.0,1.0,1.0,0.0,0.291,0.291,1.0,22.4
9/14.MOV,9,train,ok,242,60.0,1.0,1.0,0.0,0.421,0.421,1.0,23.5
10/4.MOV,10,train,ok,244,60.0,1.0,1.0,0.008,0.422,0.426,1.0,24.0
66/3.MOV,66,train,ok,244,60.0,1.0,1.0,0.0,0.369,0.369,1.0,23.7
4/0.MOV,4,train,ok,244,60.0,1.0,1.0,0.316,0.451,0.451,1.0,23.9
56/2.MOV,56,train,ok,244,60.0,1.0,1.0,0.0,0.381,0.381,1.0,24.0
64/18.MOV,64,train,ok,244,60.0,1.0,1.0,0.0,0.467,0.467,1.0,23.5
20/2.MOV,20,train,ok,244,60.0,1.0,1.0,0.0,0.307,0.307,1.0,23.6
7/10.MOV,7,train,ok,243,60.0,1.0,1.0,0.272,0.276,0.276,1.0,23.1
24/7.MOV,24,train,ok,244,60.0,1.0,1.0,0.012,0.262,0.262,1.0,23.8
0/13.MOV,0,train,ok,244,60.0,1.0,1.0,0.0,0.455,0.455,1.0,24.0
23/1.MOV,23,train,ok,244,60.0,1.0,1.0,0.0,0.275,0.275,1.0,24.2
49/5.MOV,49,train,ok,243,60.0,1.0,1.0,0.28,0.284,0.284,1.0,23.3
85/9.MOV,85,train,ok,244,60.0,1.0,1.0,0.389,0.34,0.389,1.0,24.0
1/18.MOV,1,train,ok,244,60.0,1.0,1.0,0.0,0.467,0.467,1.0,24.2
8/3.MOV,8,train,ok,242,60.0,1.0,1.0,0.017,0.302,0.302,1.0,24.2
6/3.MOV,6,train,ok,243,60.0,1.0,1.0,0.547,0.547,0.576,1.0,24.5
66/2.MOV,66,train,ok,244,60.0,1.0,1.0,0.0,0.328,0.328,1.0,23.7
8/11.MOV,8,train,ok,243,60.0,1.0,1.0,0.0,0.267,0.267,1.0,23.6
91/4.MOV,91,train,ok,243,60.0,1.0,1.0,0.391,0.416,0.416,1.0,23.1
54/9.MOV,54,train,ok,244,60.0,1.0,1.0,0.234,0.238,0.324,1.0,22.7
10/10.MOV,10,train,ok,245,60.0,1.0,1.0,0.0,0.335,0.335,1.0,23.4
7/19.MOV,7,train,ok,242,60.0,1.0,1.0,0.5,0.504,0.504,1.0,22.9
21/19.MOV,21,train,ok,244,60.0,1.0,1.0,0.0,0.303,0.303,1.0,23.2
52/14.MOV,52,train,ok,244,60.0,1.0,1.0,0.0,0.311,0.311,1.0,24.6
11/16.MOV,11,train,ok,244,60.0,1.0,1.0,0.0,0.324,0.324,1.0,24.3
74/17.MOV,74,train,ok,244,60.0,1.0,1.0,0.0,0.25,0.25,1.0,24.9
19/14.MOV,19,train,ok,242,60.0,1.0,1.0,0.0,0.289,0.289,1.0,24.1
24/11.MOV,24,train,ok,244,60.0,1.0,1.0,0.0,0.254,0.254,1.0,25.2
9/0.MOV,9,train,ok,242,60.0,1.0,1.0,0.0,0.442,0.442,1.0,24.4
15/4.MOV,15,train,ok,243,60.0,1.0,1.0,0.0,0.288,0.288,1.0,25.4
13/14.MOV,13,train,ok,244,60.0,1.0,1.0,0.0,0.283,0.283,1.0,25.3
5/8.MOV,5,train,ok,243,60.0,1.0,1.0,0.0,0.317,0.317,1.0,23.8
49/9.MOV,49,train,ok,243,60.0,1.0,1.0,0.292,0.305,0.305,1.0,24.5
20/10.MOV,20,train,ok,245,60.0,1.0,1.0,0.0,0.22,0.22,1.0,25.0
2/19.MOV,2,train,ok,244,60.0,1.0,1.0,0.0,0.537,0.537,1.0,25.7
4/18.MOV,4,train,ok,243,60.0,1.0,1.0,0.313,0.473,0.49,1.0,22.6
63/5.MOV,63,train,ok,244,60.0,1.0,1.0,0.0,0.328,0.328,1.0,23.4
63/1.MOV,63,train,ok,244,60.0,1.0,1.0,0.0,0.385,0.385,1.0,23.6
50/20.MOV,50,train,ok,242,60.0,1.0,1.0,0.0,0.368,0.368,1.0,23.4
8/1.MOV,8,train,ok,243,60.0,1.0,1.0,0.0,0.358,0.358,1.0,23.2
12/4.MOV,12,train,ok,244,60.0,1.0,1.0,0.0,0.34,0.34,1.0,23.7
9/19.MOV,9,train,ok,245,60.0,1.0,1.0,0.0,0.498,0.498,1.0,26.5
95/3.MOV,95,train,ok,244,60.0,1.0,1.0,0.008,0.361,0.361,1.0,25.7
0/6.MOV,0,train,ok,245,60.0,1.0,0.996,0.0,0.359,0.359,1.0,25.9
18/17.MOV,18,train,ok,243,60.0,1.0,1.0,0.543,0.531,0.576,1.0,25.6
20/13.MOV,20,train,ok,244,60.0,1.0,1.0,0.0,0.217,0.217,1.0,26.0
6/1.MOV,6,train,ok,243,60.0,1.0,1.0,0.51,0.49,0.527,1.0,25.5
5/2.MOV,5,train,ok,243,60.0,1.0,1.0,0.004,0.272,0.272,1.0,26.1
17/8.MOV,17,train,ok,243,60.0,1.0,1.0,0.23,0.305,0.309,1.0,25.9
8/15.MOV,8,train,ok,242,60.0,1.0,1.0,0.0,0.533,0.533,1.0,25.5
51/8.MOV,51,train,ok,242,60.0,1.0,1.0,0.0,0.31,0.31,1.0,25.3
23/4.MOV,23,train,ok,244,60.0,1.0,1.0,0.0,0.258,0.258,1.0,26.1
65/9.MOV,65,train,ok,244,60.0,1.0,1.0,0.0,0.332,0.332,1.0,25.4
85/2.MOV,85,train,ok,244,60.0,1.0,1.0,0.369,0.32,0.369,1.0,22.6
5/0.MOV,5,train,ok,243,60.0,1.0,1.0,0.0,0.313,0.313,1.0,22.8
18/5.MOV,18,train,ok,243,60.0,1.0,1.0,0.288,0.449,0.449,1.0,23.4
65/19.MOV,65,train,ok,244,60.0,1.0,1.0,0.0,0.516,0.516,1.0,22.9
7/14.MOV,7,train,ok,243,60.0,1.0,1.0,0.28,0.284,0.288,1.0,23.6
63/7.MOV,63,train,ok,244,60.0,1.0,1.0,0.0,0.283,0.283,1.0,23.6
3/7.MOV,3,train,ok,244,60.0,1.0,1.0,0.0,0.275,0.275,1.0,21.8
